accident_date,accident_time,step,ad_state,acman_rec,acfem_rec,deadman_rec,deadfem_rec,cause_type
2021-09-30 14:33:33,14:33:33,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2021-09-30 14:02:02,14:02:02,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-09-30 12:00:00,12:00:00,ศรีรัช-วงแหวนรอบนอก,ปกติ,0,0,0,0,ยางแตก
2021-09-30 04:22:22,04:22:22,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-09-30 02:07:07,02:07:07,ฉลองรัช,ปกติ,0,0,0,0,ยางแตก
2021-09-29 13:39:39,13:39:39,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2021-09-29 11:01:01,11:01:01,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เสียหลัก
2021-09-28 14:44:44,14:44:44,เฉลิมมหานคร,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-09-28 02:50:50,02:50:50,บูรพาวิถี,ปกติ,0,0,0,0,เบรคขัดข้อง
2021-09-28 02:31:31,02:31:31,บางพลี-สุขสวัสดิ์,ปกติ,0,0,1,0,หลับใน
2021-09-27 18:32:32,18:32:32,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2021-09-27 13:33:33,13:33:33,ฉลองรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-09-27 11:50:50,11:50:50,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-09-27 07:45:45,07:45:45,เฉลิมมหานคร,ปกติ,0,1,0,0,ขับรถในระยะกระชั้นชิด
2021-09-27 00:45:45,00:45:45,เฉลิมมหานคร,ปกติ,0,0,0,0,หลับใน
2021-09-26 21:53:53,21:53:53,เฉลิมมหานคร,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-09-25 21:00:00,21:00:00,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,หลับใน
2021-09-24 13:22:22,13:22:22,ฉลองรัช,ปกติ,0,0,0,0,ล้อล็อค
2021-09-24 10:04:04,10:04:04,บูรพาวิถี,ปกติ,0,1,0,0,ยางแตก
2021-09-24 03:11:11,03:11:11,บางพลี-สุขสวัสดิ์,ปกติ,0,2,0,0,ขับรถช้าลง
2021-09-24 01:36:36,01:36:36,เฉลิมมหานคร,ปกติ,0,0,0,0,บรรทุกเกิน/ของตกหล่น
2021-09-23 18:59:59,18:59:59,ฉลองรัช,ปกติ,0,0,0,0,เบลคกระทันหัน
2021-09-23 15:15:15,15:15:15,ฉลองรัช,ปกติ,0,1,0,0,ขึ้นเนินมองไม่เห็น
2021-09-22 22:05:05,22:05:05,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-09-22 14:50:50,14:50:50,บางพลี-สุขสวัสดิ์,ปกติ,1,1,0,0,ยางแตก
2021-09-22 11:42:42,11:42:42,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
